Чука сарада,435
Грибы-умами,535
С хрустящими баклажанами,525
Цезарь с курочкой,535
Цезарь с креветкой,625
Цезарь с диким лососем,655
Зелёный салат с морепродуктами,635
Том-ям / Курочка,695
Том-ям / Морепродукты,775
Рис,80
Курица,550
Свинина,575
Морепродукты,645
Креветки,695
Курочка-грибы,495
Карбонара,550
С морепродуктами,660
Креветка и песто,720
Маргарита,595
Пепперони,695
Ветчина и грибы,795
Икра гриба и сыра,775
Цыплёнок и песто,790
4 сыра,795
Клён и бекон,875
Однажды в Баварии,895
Жар Божий,925
"Генералу, уставшему от войны",925
Уми Туна,935
Дар океана,995
Креветка и песто 2.0,1065
Тори Маэстро,630
Тен-сан с лососем,495
Тен-сан с креветкой,495
Халапеньо,50
Картофель фри,185
Картофель по-деревенски,225
Наггетсы 6 шт.,325
"Сырная скала, брусничное море",595
Креветки темпура 5 шт.,595
Васаби,45
Имбирь,55
Соевый соус,55
Гункан с креветкой,395
Гункан с лососем,465
Гункан с угрём,475
Маки с огурцом,165
Маки с чукой,245
Маки с крабом,245
Маки с креветкой,365
Маки с лососем,365
Маки с угрём,395
Курица и сыр,435
Свежесть лосося,495
Свежесть креветки,495
Зелёный зной,635
Мягкая Зебба,675
Филадельфия / Лёгкая,690
Канада / Лёгкая,690
Нежная Классическая,595
Императорский с креветкой ред,715
Императорский с лососем ред,735
Гай Юлий,495
Жареный с лососем,555
Жареный с креветкой,595
Жареный с угрём,695
Тёплый краб,595
Тёплый лосось,655
Тёплая креветка,635
Тёплый угорь,675
Запечённая калифорния с креветкой,685
Запечённая калифорния с лососем,695
Запечённый угорь в кунжуте,710
В духе тигра,795
Креветка и 4 сыра,795
Сытный по званию,855
Филадельфия / Классическая,895
Филадельфия / Креветка,965
Филадельфия / Угорь,935
Филадельфия / Чеддер,935
Филадельфия / Императорская,1385
После палов,995
Тропа к небу / Канада,995
Голосок,1495
Жареный Асакуса,735
Жареная Канада,775
Запечённый Асакуса,775
Запечённый Бонито,775
Маки сет / Сливочный сыр,1390
Сет Простая форма,1990
Сет жареных роллов,1775
Сет запечённых роллов,1775
Сет Лёгкие жесты,1995
Сет на двоих,2205
Сет 3 шага на гору Фудзи,2295
Сет Красного плавника,2695
Сет 48 имён,4380
Сет Имперские забавы,7750
